"timestamp","door","existence","humidity","illuminance","lighting_lower","lighting_upper","motion","plug","rollershade","temperature"
1660349825123,0,0,55.95,4,0,0,0,0,0,31.51
1660351056124,0,0,55.95,4,0,0,0,0,0,30.29
1660353119187,0,0,55.95,4,0,0,0,0,0,30.15
1660356413282,0,0,55.95,4,0,0,0,0,0,30.49
1660359707408,0,0,55.95,4,0,0,0,0,0,30.56
1660363001603,0,0,55.95,4,0,0,0,0,0,30.45
1660366295789,0,0,55.95,4,0,0,0,0,0,30.2
1660369589925,0,0,55.95,4,0,0,0,0,0,29.99
1660372883974,0,0,55.95,4,0,0,0,0,0,30.15
1660376178036,0,0,55.95,4,0,0,0,0,0,30.19
1660379472140,0,0,55.95,4,0,0,0,0,0,30.06
1660382766177,0,0,55.95,4,0,0,0,0,0,30.18
1660385906552,0,0,55.95,4,0,0,0,0,0,29.78
1660386060269,0,0,55.95,4,0,0,0,0,0,29.82
1660389354167,0,0,55.95,4,0,0,0,0,0,29.43
1660392648020,0,0,55.95,4,0,0,0,0,0,29.73
1660395941869,0,0,55.95,4,0,0,0,0,0,29.79
1660399235738,0,0,55.95,4,0,0,0,0,0,29.76
1660402529560,0,0,55.95,4,0,0,0,0,0,29.84
1660405823506,0,0,55.95,4,0,0,0,0,0,29.91
1660409117443,0,0,55.95,4,0,0,0,0,0,30.03
1660412411467,0,0,55.95,4,0,0,0,0,0,30.05
1660415705419,0,0,55.95,4,0,0,0,0,0,30.13
1660418999493,0,0,55.95,4,0,0,0,0,0,30.19
1660420965657,0,0,55.95,4,0,0,0,0,0,30.29
1660422293488,0,0,55.95,4,0,0,0,0,0,30.26
1660425587410,0,0,55.95,4,0,0,0,0,0,30.36
1660428881414,0,0,55.95,4,0,0,0,0,0,30.66
1660432175395,0,0,55.95,4,0,0,0,0,0,30.74
1660435469375,0,0,55.95,4,0,0,0,0,0,30.33
1660438763359,0,0,55.95,4,0,0,0,0,0,30.31
1660442057367,0,0,55.95,4,0,0,0,0,0,30.61
1660445351345,0,0,55.95,4,0,0,0,0,0,30.73
1660446714040,0,0,55.95,4,0,0,0,0,0,30.81
1660448645488,0,0,55.95,4,0,0,0,0,0,30.77
1660451939614,0,0,55.95,4,0,0,0,0,0,30.95
1660455233751,0,0,55.95,4,0,0,0,0,0,31.11
1660458527905,0,0,55.95,4,0,0,0,0,0,31.21
1660461822052,0,0,55.95,4,0,0,0,0,0,31.25
1660463360360,0,0,55.95,4,0,0,0,0,0,31.32
1660465116207,0,0,55.95,4,0,0,0,0,0,31.28
1660468410380,0,0,55.95,4,0,0,0,0,0,31.22
1660471704553,0,0,55.95,4,0,0,0,0,0,31.16
1660474998727,0,0,55.95,4,0,0,0,0,0,31.09
1660476679660,0,0,55.95,4,0,0,0,0,0,30.79
1660478292802,0,0,55.95,4,0,0,0,0,0,30.66
1660481586821,0,0,55.95,4,0,0,0,0,0,30.49
1660484880845,0,0,55.95,4,0,0,0,0,0,30.43
1660485354665,0,0,55.95,4,0,0,0,0,0,30.27
1660488174810,0,0,55.95,4,0,0,0,0,0,30.08
1660491468754,0,0,55.95,4,0,0,0,0,0,30.22
1660494762797,0,0,55.95,4,0,0,0,0,0,30.36
1660498056718,0,0,55.95,4,0,0,0,0,0,30.49
1660501350712,0,0,55.95,4,0,0,0,0,0,30.5
1660504644794,0,0,55.95,4,0,0,0,0,0,30.58
1660507938929,0,0,55.95,4,0,0,0,0,0,30.63
1660511233015,0,0,55.95,4,0,0,0,0,0,30.64
1660514527153,0,0,55.95,4,0,0,0,0,0,30.68
1660517821274,0,0,55.95,4,0,0,0,0,0,30.73
1660519743631,0,0,55.95,4,0,0,0,0,0,30.78
1660521115402,0,0,55.95,4,0,0,0,0,0,30.73
1660524409493,0,0,55.95,4,0,0,0,0,0,30.3
1660524422441,0,0,55.95,4,0,0,0,0,0,30.27
1660527703543,0,0,55.95,4,0,0,0,0,0,30.24
1660530997601,0,0,55.95,4,0,0,0,0,0,30.51
1660534291707,0,0,55.95,4,0,0,0,0,0,30.63
